date,destination,pax,agency
2022-08-06,Paris,6,David
2019-02-13,Sydney,10,Ivan
2021-08-19,Paris,1,Alice
2018-01-28,Tokyo,6,Heidi
2019-08-17,Paris,9,Bob
2024-08-21,Paris,4,Ivan
2023-11-09,Tokyo,7,Grace
2019-07-26,Paris,10,Heidi
2023-10-11,London,5,Bob
2024-09-13,Sydney,4,Bob
2020-06-26,Tokyo,2,Alice
2021-09-10,London,9,Ivan
2024-03-08,New York,6,David
2023-11-30,Tokyo,4,Ivan
2023-03-14,London,4,Eve
2021-01-29,London,3,Alice
2020-11-06,Paris,4,Alice
2020-04-02,Paris,9,Ivan
2024-01-22,London,1,Charlie
2021-08-18,Tokyo,8,Judy
2019-12-29,New York,7,Heidi
2019-06-02,London,3,Heidi
2018-10-11,Sydney,3,Ivan
2018-06-21,Paris,2,Eve
2019-03-06,Paris,10,Eve
2020-12-14,Paris,2,Charlie
2021-07-18,Sydney,1,Alice
2022-04-07,Paris,3,Judy
2023-01-17,Tokyo,3,Ivan
2021-05-14,Sydney,2,Grace
2024-04-30,Paris,6,Eve
2022-02-03,Sydney,8,Heidi
2019-12-31,London,6,Judy
2021-01-12,Paris,4,David
2024-05-12,Tokyo,6,Bob
2020-04-19,London,3,Charlie
2020-11-30,New York,6,Frank
2018-02-13,London,2,Bob
2021-07-03,Sydney,1,Heidi
2021-03-01,New York,3,Judy
2018-01-11,Tokyo,6,Eve
2021-02-17,London,9,Alice
2022-08-27,Paris,5,Ivan
2020-06-13,Sydney,8,Charlie
2022-08-11,New York,4,Bob
2024-06-08,London,9,Charlie
2020-03-04,London,7,Frank
2024-05-21,Tokyo,7,Charlie
2018-12-23,London,3,Judy
2020-09-11,New York,6,Grace
2020-07-02,Tokyo,8,Grace
2018-01-10,Paris,8,Judy
2023-01-07,London,6,Frank
2019-04-27,Tokyo,7,Frank
2018-12-09,New York,5,Ivan
2021-08-23,London,5,Grace
2019-08-03,Paris,3,Alice
2022-05-17,Tokyo,6,Alice
2019-10-13,Tokyo,3,Eve
2021-02-24,Sydney,7,Heidi
2022-09-17,London,8,Bob
2022-11-07,New York,4,Eve
2024-02-24,Tokyo,7,Ivan
2018-04-11,London,9,Bob
2021-02-21,Paris,6,Charlie
2023-02-13,New York,5,Ivan
2021-09-06,Sydney,7,Heidi
2023-04-12,Tokyo,1,Bob
2020-05-10,Tokyo,9,Alice
2022-06-20,Sydney,3,Bob
2022-02-28,Sydney,10,Grace
2024-06-08,New York,8,Charlie
2021-09-21,Tokyo,2,Judy
2020-03-22,Tokyo,4,Charlie
2022-04-27,Sydney,4,Judy
2023-02-19,Sydney,4,David
2021-10-24,New York,7,Heidi
2024-05-06,Tokyo,2,Bob
2019-11-29,Paris,3,Ivan
2020-04-15,Tokyo,4,Alice
2022-12-23,New York,7,Grace
2022-05-22,Paris,4,Heidi
2021-09-12,Paris,9,Judy
2020-03-02,Tokyo,5,David
2020-08-10,Paris,4,Heidi
2020-03-26,Tokyo,8,Ivan
2019-06-25,London,3,Grace
2024-06-13,Tokyo,10,Frank
2023-03-06,Sydney,8,Frank
2019-05-22,Tokyo,2,Alice
2022-10-22,Tokyo,6,Heidi
2023-11-09,New York,10,Judy
2024-08-06,Sydney,2,Eve
2021-11-12,Tokyo,1,Bob
2018-12-23,Sydney,4,David
2021-02-10,New York,1,Charlie
2021-10-02,New York,2,Charlie
2021-03-24,New York,5,Judy
2019-06-10,Paris,8,Charlie
2021-09-23,New York,5,David
2018-08-08,London,7,Eve
2023-03-26,Paris,10,Ivan
2023-04-19,Paris,10,Judy
2018-08-08,Paris,4,Ivan
2019-12-05,London,2,Heidi
2023-05-03,London,5,Grace
2018-01-31,Sydney,5,Charlie
2020-07-15,Paris,9,Bob
2019-07-19,New York,2,Bob
2018-01-26,Sydney,2,Heidi
2024-01-10,Tokyo,8,Frank
2021-04-17,Sydney,3,David
2022-10-19,New York,4,David
2018-04-02,New York,6,Ivan
2023-06-03,London,5,Grace
2020-10-01,Paris,4,Heidi
2020-01-09,London,7,Charlie
2022-10-25,Sydney,7,Eve
2023-11-11,London,9,Alice
2021-06-10,Paris,6,Frank
2020-06-17,London,6,Ivan
2018-01-15,Tokyo,9,Eve
2019-05-24,Sydney,2,David
2024-02-17,Sydney,3,Ivan
2023-12-02,London,6,David
2020-07-10,Paris,1,Frank
2018-05-09,Tokyo,7,Heidi
2024-02-09,Sydney,2,Frank
2021-12-14,Paris,3,Grace
2024-01-23,Paris,9,Heidi
2022-09-14,Paris,10,Alice
2019-01-17,London,8,Bob
2018-01-18,New York,7,Ivan
2019-03-23,Tokyo,9,Judy
2022-10-27,London,8,Frank
2024-09-05,Tokyo,6,Heidi
2019-12-12,London,4,Grace
2020-11-16,London,8,Ivan
2023-04-02,Sydney,8,Frank
2020-06-25,New York,1,Charlie
2021-04-09,Tokyo,4,Judy
2018-12-25,London,4,David
2022-05-30,New York,8,Alice
2019-01-06,Paris,6,Frank
2019-05-07,Paris,3,Ivan
2022-09-30,New York,1,Heidi
2018-07-04,New York,8,Eve
2021-11-26,New York,10,Ivan
2022-10-17,London,3,Judy
2019-09-07,Sydney,5,Grace
2024-02-09,Paris,5,Eve
2024-04-27,Paris,5,Grace
2021-09-16,Tokyo,5,Grace
2022-11-26,Paris,7,David
2024-01-20,New York,1,Grace
2018-01-17,Paris,7,Bob
2020-06-28,London,3,Bob
2018-08-22,London,6,David
2022-07-06,Sydney,3,Alice
2024-04-01,Sydney,4,Charlie
2019-02-04,Tokyo,10,Eve
2023-06-12,Sydney,10,Ivan
2019-11-27,Tokyo,3,Heidi
2018-11-28,Paris,7,Charlie
2018-06-02,Paris,6,David
2019-08-22,Paris,6,Frank
2024-07-01,Paris,10,Heidi
2023-06-04,New York,2,Heidi
2023-10-13,New York,1,Eve
2018-07-29,Sydney,6,Ivan
2022-08-10,Tokyo,7,Grace
2019-02-25,New York,3,Heidi
2023-11-21,New York,2,David
2019-04-01,Sydney,9,David
2024-03-21,Paris,6,Heidi
2020-03-27,Paris,7,Judy
2022-04-05,London,1,Bob
2023-05-18,Tokyo,10,Grace
2024-01-11,New York,2,Alice
2021-11-25,London,1,Grace
2019-03-30,Tokyo,4,Heidi
2023-02-05,New York,1,Eve
2018-02-11,Sydney,5,Ivan
2023-08-18,London,6,Eve
2019-06-08,New York,9,Ivan
2022-06-22,Tokyo,8,Grace
2018-10-26,Tokyo,6,Grace
2022-07-05,Tokyo,10,Judy
2018-11-20,London,3,Bob
2018-11-26,Sydney,8,Charlie
2023-01-01,Paris,5,Grace
2023-10-08,Paris,6,Judy
2020-05-12,Sydney,1,Bob
2018-07-04,Paris,10,David
2018-08-31,London,2,Judy
2022-12-25,London,10,Heidi
2021-05-05,New York,6,Charlie
2021-04-10,Paris,9,Grace
2021-03-05,Sydney,7,Frank
2022-05-05,Tokyo,8,Heidi
2023-08-15,New York,2,Grace
2023-03-15,Tokyo,3,Judy
2023-08-11,New York,5,Bob
2018-10-26,Tokyo,1,Frank
2018-08-08,New York,3,Judy
2019-01-05,Sydney,10,Heidi
2022-01-17,Sydney,1,Frank
2022-01-08,Sydney,1,Frank
2024-07-08,Sydney,1,Ivan
2021-12-23,London,3,Eve
2023-06-08,London,2,Ivan
2020-01-05,Sydney,3,Heidi
2020-07-22,Sydney,10,Grace
2018-01-03,Sydney,10,Ivan
2021-06-29,Paris,2,Eve
2019-03-01,Tokyo,6,Bob
2021-10-22,London,8,David
2021-12-19,Tokyo,6,Charlie
2022-01-06,London,1,Ivan
2022-01-03,London,10,Frank
2023-01-02,Paris,8,Judy
2019-09-01,Sydney,3,Grace
2020-03-16,London,9,Alice
2023-04-26,Paris,10,Charlie
2020-07-17,Paris,2,Bob
2024-02-11,New York,7,Charlie
2021-11-19,Sydney,9,Bob
2023-09-18,New York,3,Charlie
2019-08-30,Tokyo,10,Frank
2020-12-19,New York,1,Charlie
2021-01-26,London,7,Judy
2021-04-03,Paris,8,Ivan
2019-01-21,Tokyo,4,Bob
2019-05-29,Sydney,4,Ivan
2024-02-12,Sydney,9,Heidi
2020-06-01,London,7,Heidi
2018-06-21,New York,8,Charlie
2018-06-17,Sydney,5,Charlie
2022-01-13,New York,9,Eve
2019-02-13,Paris,2,Judy
2019-01-14,Sydney,8,David
2024-09-10,Sydney,9,Ivan
2019-06-02,New York,4,Charlie
2024-08-03,New York,3,Charlie
2022-12-05,Sydney,8,Alice
2018-08-09,London,2,Charlie
2024-03-30,Tokyo,6,Bob
2021-01-22,New York,1,Grace
2021-08-22,London,6,Frank
2024-02-10,Sydney,7,David
2019-10-04,New York,9,Bob
2023-04-06,Sydney,8,Frank
2022-02-14,Sydney,8,Charlie
2019-04-02,New York,3,David
2020-10-11,New York,2,Eve
2022-09-12,Tokyo,6,David
2023-09-27,London,2,Alice
2022-09-24,Paris,2,David
2021-05-07,Paris,1,Judy
2023-02-14,Paris,10,David
2023-05-19,Tokyo,7,David
2019-04-28,Tokyo,2,Grace
2019-06-08,London,2,Alice
2018-10-29,Paris,1,David
2021-04-25,Sydney,2,Heidi
2021-04-18,Sydney,8,Alice
2020-08-20,London,3,Eve
2024-07-07,Paris,2,Heidi
2020-04-27,London,5,Charlie
2023-08-03,New York,1,Alice
2018-07-07,Tokyo,3,Ivan
2023-06-11,New York,2,Judy
2020-12-19,London,2,Heidi
2023-11-19,Tokyo,5,Eve
2020-07-24,London,10,Heidi
2018-06-18,London,1,Grace
2022-03-13,Tokyo,6,Frank
2022-08-02,London,2,Judy
2023-06-23,Tokyo,9,Ivan
2019-07-15,London,5,Alice
2024-02-15,New York,7,Frank
2019-09-17,Tokyo,3,Grace
2023-04-14,Tokyo,4,Heidi
2018-04-16,Sydney,6,Frank
2022-04-04,New York,7,Charlie
2023-04-06,Sydney,7,Ivan
2021-05-10,Paris,8,Frank
2021-11-21,New York,10,Heidi
2019-10-26,New York,5,David
2020-10-15,New York,7,Charlie
2023-01-22,Paris,4,Judy
2018-10-16,London,9,Charlie
2022-03-14,London,7,Judy
2023-03-11,Tokyo,9,Heidi
2023-05-11,Sydney,5,Eve
2020-05-05,Sydney,4,Grace
2021-04-21,London,8,Alice
2022-01-20,New York,5,Judy
2022-09-12,London,1,Frank
2021-06-22,New York,3,Heidi
2021-11-13,Sydney,5,Eve
2018-09-07,London,1,David
2019-04-22,New York,6,Judy
2023-12-06,London,9,Frank
2023-04-29,Paris,8,Heidi
2021-01-02,New York,1,Heidi
2018-02-11,New York,7,Heidi
2022-12-19,New York,4,Charlie
2020-07-15,Sydney,4,Grace
2024-03-02,London,8,Ivan
2022-12-22,London,7,Charlie
2019-05-15,Paris,2,Ivan
2018-05-22,London,4,Grace
2018-01-27,Paris,7,Frank
2019-01-03,Paris,4,Heidi
2018-10-30,London,10,Alice
2021-05-17,Sydney,6,Ivan
2021-02-04,London,10,Judy
2022-09-27,New York,7,Alice
2019-04-17,New York,7,Grace
2024-08-02,Paris,6,Ivan
2021-06-26,New York,10,David
2020-06-03,Paris,8,Charlie
2022-07-08,New York,7,Grace
2021-10-19,London,2,David
2021-07-21,Sydney,1,David
2019-10-24,Tokyo,2,David
2020-12-05,Tokyo,1,Eve
2021-08-24,Paris,8,Grace
2019-07-10,Paris,4,Ivan
2024-09-29,Tokyo,2,Alice
2019-06-09,Tokyo,10,David
2022-12-25,Sydney,7,Heidi
2022-02-22,Paris,9,David
2023-09-19,Paris,1,Eve
2021-06-13,London,8,Ivan
2023-09-03,Sydney,3,Frank
2020-11-21,Tokyo,7,Bob
2018-02-11,London,2,Grace
2019-10-12,Sydney,10,Grace
2019-10-28,Tokyo,8,Frank
2018-02-20,Tokyo,8,Charlie
2021-12-23,Paris,1,Alice
2021-07-29,Sydney,8,Ivan
2021-08-04,Sydney,6,Ivan
2020-12-13,New York,4,Bob
2024-04-26,Sydney,2,Charlie
2023-11-26,London,2,Grace
2018-12-03,New York,6,Eve
2021-05-10,London,6,Ivan
2022-12-18,Tokyo,6,Heidi
2018-05-10,Tokyo,7,Alice
2020-02-07,Paris,6,Judy
2024-02-21,New York,8,Eve
2019-05-04,Tokyo,7,Frank
2020-11-08,Sydney,8,Judy
2020-11-08,Paris,9,Grace
2019-05-31,London,1,Bob
2019-02-20,Tokyo,9,Frank
2023-04-05,London,6,Heidi
2019-08-01,New York,10,David
2024-06-07,London,5,Ivan
2024-08-12,London,2,Ivan
2019-03-31,Tokyo,9,Alice
2019-04-28,Tokyo,10,Eve
2018-03-16,Paris,9,Judy
2022-02-11,Tokyo,2,Grace
2022-03-23,London,4,Heidi
2021-08-02,New York,1,Alice
2021-02-25,Tokyo,10,Charlie
2022-03-27,Paris,1,Charlie
2019-12-07,New York,4,Frank
2018-11-28,New York,10,Heidi
2022-08-22,Sydney,1,Judy
2018-05-12,Tokyo,3,Alice
2019-04-12,London,2,Heidi
2022-06-06,Paris,6,Eve
2022-11-19,London,4,Eve
2020-08-30,Paris,8,David
2019-08-21,Tokyo,1,Charlie
2024-02-12,London,6,Heidi
2018-02-27,Sydney,4,Grace
2021-11-24,New York,1,Judy
2022-02-06,New York,4,Charlie
2019-08-20,Paris,3,Heidi
2023-02-02,London,1,David
2019-01-22,New York,5,Judy
2024-02-28,Sydney,5,Charlie
2021-01-27,New York,1,Alice
2022-09-09,London,9,Heidi
2023-01-21,Tokyo,6,Ivan
2024-06-15,Sydney,5,Bob
2023-07-01,Paris,2,David
2024-04-15,Tokyo,5,Eve
2019-11-23,Sydney,4,Heidi
2022-08-27,New York,4,Charlie
2018-06-17,Sydney,8,Frank
2024-04-01,Sydney,10,Grace
2021-01-10,New York,10,Charlie
2021-11-28,Tokyo,3,Charlie
2020-09-29,Sydney,5,Alice
2019-01-01,Tokyo,9,Grace
2020-08-05,Paris,7,Ivan
2023-07-11,London,4,Heidi
2020-01-23,Sydney,10,David
2019-03-09,Tokyo,1,Ivan
2020-03-18,New York,2,Ivan
2023-07-21,Paris,1,Bob
2022-05-02,Paris,6,Ivan
2022-02-04,Tokyo,2,Charlie
2024-09-24,Paris,2,Alice
2019-01-04,Tokyo,1,Ivan
2024-04-30,New York,6,Eve
2018-10-23,Tokyo,7,Bob
2018-07-23,Paris,3,Heidi
2023-08-07,Tokyo,6,Bob
2018-11-19,Tokyo,6,Heidi
2018-09-26,Sydney,2,Heidi
2023-10-02,New York,2,Grace
2019-06-27,Tokyo,7,Ivan
